ID,CENTER,FY,SIC,NAICS,STATE,SALES,EMPLOYEES,PLANT_AREA,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,EC_plant_cost,EC_plant_usage,ED_plant_cost,ED_plant_usage,EF_plant_cost,E2_plant_cost,E2_plant_usage,E3_plant_cost,E3_plant_usage,E4_plant_cost,E4_plant_usage,E5_plant_cost,E5_plant_usage,E6_plant_cost,E6_plant_usage,E7_plant_cost,E7_plant_usage,E8_plant_cost,E8_plant_usage,E9_plant_cost,E9_plant_usage,E10_plant_cost,E10_plant_usage,E11_plant_cost,E11_plant_usage,E12_plant_cost,E12_plant_usage,W0_plant_cost,W0_plant_usage,W1_plant_cost,W1_plant_usage,W2_plant_cost,W2_plant_usage,W3_plant_cost,W3_plant_usage,W4_plant_cost,W4_plant_usage,W5_plant_cost,W5_plant_usage,W6_plant_cost,W6_plant_usage
AM0001,AM,1987.0,3671.0,,TX,33900000.0,206.0,,MICRO & MINI COMPUTERS,1.0,310.0,2250.0,7.0,184985.0,2560082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0002,AM,1987.0,2761.0,,TX,25000000.0,156.0,,BUSINESS FORMS,,,2250.0,9.0,267702.0,4867233.0,,,,70657.0,19338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0003,AM,1987.0,3494.0,,TX,15000000.0,200.0,,SAFETY JOINTS & VALVES,,,2250.0,8.0,129334.0,1723036.0,,,,10146.0,2074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0004,AM,1987.0,3713.0,,TX,4200000.0,75.0,,TRUCKS BEDS & TRAILERS,1.0,1000.0,2340.0,11.0,53511.0,483880.0,,,,15475.0,3865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0005,AM,1987.0,2024.0,,TX,12000000.0,39.0,,ICE CREAM,5.0,2000.0,2080.0,7.0,174617.0,2868113.0,,,,10448.0,2903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0006,AM,1987.0,2048.0,,TX,11000000.0,50.0,,FEED & MEAT PROCESSING,3.0,35311.0,3222.0,6.0,78005.0,1004396.0,,,,13436.0,3344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0007,AM,1987.0,3559.0,,TX,25000000.0,75.0,,NG LIQUIDS PROCES EQUIPMENT,,,4420.0,5.0,118029.0,2157093.0,,,,6686.0,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0008,AM,1987.0,2448.0,,TX,1900000.0,50.0,,"WOODEN PALLETS,VENEERS",,,2080.0,4.0,78950.0,839683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0009,AM,1987.0,2796.0,,TX,22000000.0,82.0,,LIGHOGRAPHIC PLATES,1.0,9000000.0,6816.0,4.0,249501.0,4589977.0,,,,11711.0,2262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0010,AM,1987.0,2752.0,,TX,30000000.0,312.0,,LETHOGRAPHIC PRINTING,1.0,1407000.0,8736.0,4.0,261955.0,4626026.0,,,,42926.0,12061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0011,AM,1987.0,2673.0,,TX,13500000.0,70.0,,MISCELLANEOUS PLASTICS,2.0,31000000.0,8736.0,9.0,508387.0,12702521.0,,,,21123.0,6103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0012,AM,1987.0,3089.0,,TX,11000000.0,150.0,,PLASTIC HOUSEWARES,2.0,42000000.0,8736.0,5.0,196896.0,4116061.0,,,,22983.0,4222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0013,AM,1987.0,3089.0,,TX,1900000.0,27.0,,INJECTION-MOLDED PLASTIC,1.0,3238000.0,5000.0,8.0,50121.0,1055979.0,,,,450.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
