Link,ARC Code,Description,Recommendations,Recommended $ Savings,Average Payback (yrs),Implementation Rate
https://iac.university/recommendationTypes/2.,2.0000,ENERGY MANAGEMENT,"139,525","$1,937,758,781",1.8,51.0%
https://iac.university/recommendationTypes/3.,3.0000,WASTE MINIMIZATION / POLLUTION PREVENTION,"10,492","$319,982,761",1.6,40.1%
https://iac.university/recommendationTypes/4.,4.0000,DIRECT PRODUCTIVITY ENHANCEMENTS,"6,462","$661,119,557",0.9,42.8%
https://iac.university/recommendationTypes/2.1,2.1000,Combustion Systems,"8,190","$232,346,723",1.4,47.2%
https://iac.university/recommendationTypes/2.2,2.2000,Thermal Systems,"19,627","$414,193,143",3.0,41.7%
https://iac.university/recommendationTypes/2.3,2.3000,Electrical Power,"6,574","$323,716,387",1.6,36.1%
https://iac.university/recommendationTypes/2.4,2.4000,Motor Systems,"47,104","$387,012,133",1.4,57.0%
https://iac.university/recommendationTypes/2.5,2.5000,Industrial Design,557,"$21,947,373",1.6,34.8%
https://iac.university/recommendationTypes/2.6,2.6000,Operations,"7,230","$59,535,602",0.6,55.2%
https://iac.university/recommendationTypes/2.7,2.7000,Building and Grounds,"46,070","$338,648,033",1.9,51.6%
https://iac.university/recommendationTypes/2.8,2.8000,Ancillary Costs,"3,301","$84,514,832",1.1,53.3%
https://iac.university/recommendationTypes/2.9,2.9000,Alternative Energy Usage,872,"$75,844,554",8.4,15.5%
https://iac.university/recommendationTypes/3.1,3.1000,Operations,"1,300","$82,712,727",1.0,40.5%
https://iac.university/recommendationTypes/3.2,3.2000,Equipment,513,"$31,900,984",0.8,36.0%
https://iac.university/recommendationTypes/3.3,3.3000,Post Generation Treatment / Minimization,451,"$27,391,776",1.7,28.3%
https://iac.university/recommendationTypes/3.4,3.4000,Water Use,"2,607","$55,096,248",1.3,42.5%
https://iac.university/recommendationTypes/3.5,3.5000,Recycling,"3,016","$69,383,704",1.0,44.8%
https://iac.university/recommendationTypes/3.6,3.6000,Waste Disposal,"1,479","$33,868,351",4.3,31.3%
https://iac.university/recommendationTypes/3.7,3.7000,Maintenance,629,"$10,193,139",0.6,46.7%
https://iac.university/recommendationTypes/3.8,3.8000,Raw Materials,497,"$9,435,833",1.4,31.2%
https://iac.university/recommendationTypes/4.1,4.1000,MANUFACTURING ENHANCEMENTS,"1,262","$218,683,048",1.0,38.0%
https://iac.university/recommendationTypes/4.2,4.2000,Purchasing,368,"$31,214,919",1.5,30.8%
https://iac.university/recommendationTypes/4.3,4.3000,Inventory,317,"$30,997,822",0.7,45.7%
https://iac.university/recommendationTypes/4.4,4.4000,Labor Optimization,"1,836","$179,662,282",1.0,37.5%
https://iac.university/recommendationTypes/4.5,4.5000,Space Utilization,683,"$60,043,389",0.9,42.2%
https://iac.university/recommendationTypes/4.6,4.6000,Reduction of Downtime,"1,353","$127,302,561",0.9,47.5%
https://iac.university/recommendationTypes/4.7,4.7000,Management Practices,109,"$10,270,093",0.7,52.4%
https://iac.university/recommendationTypes/4.8,4.8000,Other Administrative Savings,534,"$2,945,442",0.2,65.6%
https://iac.university/recommendationTypes/2.11,2.1100,"FURNACES, OVENS AND DIRECTLY FIRED OPERATIONS","1,594","$49,542,884",1.1,46.6%
https://iac.university/recommendationTypes/2.12,2.1200,BOILERS,"4,416","$77,820,292",1.2,56.8%
https://iac.university/recommendationTypes/2.13,2.1300,FUEL SWITCHING,"2,180","$104,983,548",2.1,28.0%
https://iac.university/recommendationTypes/2.21,2.2100,STEAM,"4,044","$99,281,365",1.3,65.4%
https://iac.university/recommendationTypes/2.22,2.2200,HEATING,307,"$6,094,742",0.7,48.6%
https://iac.university/recommendationTypes/2.23,2.2300,HEAT TREATING,111,"$8,970,247",2.0,27.6%
https://iac.university/recommendationTypes/2.24,2.2400,HEAT RECOVERY,"7,401","$208,148,552",1.6,27.2%
https://iac.university/recommendationTypes/2.25,2.2500,HEAT CONTAINMENT,"5,666","$43,168,932",1.2,46.4%
https://iac.university/recommendationTypes/2.26,2.2600,COOLING,"2,034","$47,737,163",16.9,33.6%
https://iac.university/recommendationTypes/2.27,2.2700,DRYING,64,"$792,142",1.3,40.6%
https://iac.university/recommendationTypes/2.31,2.3100,DEMAND MANAGEMENT,"3,153","$47,468,549",0.7,40.2%
https://iac.university/recommendationTypes/2.32,2.3200,POWER FACTOR,"2,534","$33,495,064",2.0,37.7%
https://iac.university/recommendationTypes/2.33,2.3300,GENERATION OF POWER,114,"$17,468,674",4.6,24.0%
https://iac.university/recommendationTypes/2.34,2.3400,COGENERATION,627,"$222,310,058",4.1,11.8%
https://iac.university/recommendationTypes/2.35,2.3500,TRANSMISSION,146,"$2,974,043",2.1,30.1%
https://iac.university/recommendationTypes/2.41,2.4100,MOTORS,"16,642","$154,491,513",2.5,53.0%
https://iac.university/recommendationTypes/2.42,2.4200,AIR COMPRESSORS,"26,698","$155,564,418",0.7,61.4%
https://iac.university/recommendationTypes/2.43,2.4300,OTHER EQUIPMENT,"3,762","$76,953,064",1.5,44.3%
https://iac.university/recommendationTypes/2.51,2.5100,SYSTEMS,557,"$21,947,373",1.6,34.8%
https://iac.university/recommendationTypes/2.61,2.6100,MAINTENANCE,611,"$3,778,000",0.4,66.8%
https://iac.university/recommendationTypes/2.62,2.6200,EQUIPMENT CONTROL,"6,619","$55,757,602",0.6,54.1%
https://iac.university/recommendationTypes/2.71,2.7100,LIGHTING,"31,934","$192,852,442",2.0,54.1%
https://iac.university/recommendationTypes/2.72,2.7200,SPACE CONDITIONING,"9,304","$103,043,102",1.8,46.2%
https://iac.university/recommendationTypes/2.73,2.7300,VENTILATION,"1,046","$13,661,612",1.1,42.8%
https://iac.university/recommendationTypes/2.74,2.7400,BUILDING ENVELOPE,"3,786","$29,090,878",1.9,46.0%
https://iac.university/recommendationTypes/2.81,2.8100,ADMINISTRATIVE,"3,143","$80,070,267",1.1,54.4%
https://iac.university/recommendationTypes/2.82,2.8200,"SHIPPING, DISTRIBUTION, AND TRANSPORTATION",158,"$4,444,565",1.9,31.2%
https://iac.university/recommendationTypes/2.91,2.9100,GENERAL,872,"$75,844,554",8.4,15.5%
https://iac.university/recommendationTypes/3.11,3.1100,Procedures,"1,195","$80,275,280",1.0,39.9%
https://iac.university/recommendationTypes/3.12,3.1200,Waste Stream Contamination,105,"$2,437,447",1.0,46.5%
https://iac.university/recommendationTypes/3.13,3.1300,CAD/CAM,-,-,-,-%
https://iac.university/recommendationTypes/3.21,3.2100,General,513,"$31,900,984",0.8,36.0%
