Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
https://iac.university/indexSic/20,20,Food and Kindred Products,"2,641","20,225","$383,139,724"
https://iac.university/indexSic/21,21,Tobacco Products,19,163,"$5,334,574"
https://iac.university/indexSic/22,22,Textile Mill Products,573,"4,164","$79,414,034"
https://iac.university/indexSic/23,23,Apparel And Other Textile Products,347,"2,383","$18,915,428"
https://iac.university/indexSic/24,24,Lumber And Wood Products,"1,003","7,052","$174,717,455"
https://iac.university/indexSic/25,25,Furniture And Fixtures,478,"3,472","$41,044,025"
https://iac.university/indexSic/26,26,Paper And Allied Products,999,"7,854","$170,711,194"
https://iac.university/indexSic/27,27,Printing And Publishing,751,"5,634","$64,932,611"
https://iac.university/indexSic/28,28,Chemicals And Allied Products,"1,114","8,361","$266,814,549"
https://iac.university/indexSic/29,29,Petroleum And Coal Products,190,"1,353","$51,832,768"
https://iac.university/indexSic/30,30,Rubber And Miscellaneous Plastics Products,"2,146","16,677","$259,524,203"
https://iac.university/indexSic/31,31,Leather And Leather Products,89,631,"$6,447,084"
https://iac.university/indexSic/32,32,"Stone, Clay, And Glass Products",775,"5,593","$201,701,430"
https://iac.university/indexSic/33,33,Primary Metal Industries,"1,317","10,150","$266,338,507"
https://iac.university/indexSic/34,34,Fabricated Metal Products,"2,589","19,652","$246,402,125"
https://iac.university/indexSic/35,35,Industrial Machinery And Equipment,"2,009","14,840","$153,295,526"
https://iac.university/indexSic/36,36,Electronic & Other Electric Equipment,"1,118","8,272","$127,862,205"
https://iac.university/indexSic/37,37,Transportation Equipment,"1,184","9,102","$160,698,752"
https://iac.university/indexSic/38,38,Instruments And Related Products,542,"3,942","$56,128,762"
https://iac.university/indexSic/39,39,Miscellaneous Manufacturing Industries,336,"2,497","$33,883,394"
https://iac.university/indexSic/201,201,Meat Products,369,"2,907","$45,852,002"
https://iac.university/indexSic/202,202,Dairy Products,342,"2,694","$51,629,964"
https://iac.university/indexSic/203,203,Preserved Fruits And Vegetables,355,"2,860","$65,728,439"
https://iac.university/indexSic/204,204,Grain Mill Products,271,"2,042","$28,702,960"
https://iac.university/indexSic/205,205,Bakery Products,311,"2,369","$36,923,067"
